Azure Managed Disk SKUs per region,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,offer,global,sweden-central,europe-west,europe-north,germany-west-central
,,,premiumssd-p80-lrs,,AAF-81597,AAD-55898,AAD-55887,AAF-77000
,,,premiumssd-p80-lrs-disk-mount,,AAF-81845,AAF-77849,AAF-77743,AAF-78282
,,,premiumssd-p80-lrs-one-year,,,,,
,,,premiumssd-p80-zrs,,,AAF-81696,AAF-82374,
,,,premiumssd-p80-zrs-disk-mount,,AAF-81845,AAF-77849,AAF-77743,AAF-78282
,,,premiumssdv2-capacity,,AAN-35308,AAM-85023,AAN-32389,AAN-34772
,,,standardhdd-snapshot-lrs,,AAF-81811,N9H-00969,N9H-00968,AAD-80334
,,,standardhdd-snapshot-zrs,,AAM-83762,AAD-18446,AAD-18431,AAD-80344
,,,standardhdd-s4,,AAF-81695,N9H-00920,N9H-00919,AAD-80327
,,,standardhdd-s6,,AAF-82238,N9H-00940,N9H-00939,AAD-80329
,,,standardhdd-s10,,AAF-81821,N9H-00869,N9H-00868,AAD-80328
,,,standardhdd-s15,,AAF-82200,AAA-70160,AAA-70168,AAD-80330
,,,standardhdd-s20,,AAF-81769,N9H-00886,N9H-00885,AAD-80331
,,,standardhdd-s30,,AAF-81770,N9H-00903,N9H-00902,AAD-80326
,,,standardhdd-s40,,AAF-81994,AAA-49429,AAA-49408,AAD-80337
,,,standardhdd-s50,,AAF-81888,AAA-49454,AAA-49432,AAD-80332
,,,standardhdd-s60,,AAF-81594,AAA-70137,AAA-70148,AAF-78700
,,,standardhdd-s70,,AAF-81653,AAD-55949,AAD-55950,AAF-78707
,,,standardhdd-s80,,AAF-81671,AAD-55990,AAD-55971,AAF-78712
,,,standardssd-snapshot,,AAF-82052,AAD-25993,AAD-25974,AAD-80283
,,,standardssd-e1-lrs,,AAF-81765,AAF-76226,AAF-76277,AAF-76944
,,,standardssd-e1-lrs-disk-mount,,AAF-82645,AAF-82547,AAF-82751,AAF-83144
,,,standardssd-e1-zrs,,,AAF-82343,AAF-81733,
,,,standardssd-e1-zrs-disk-mount,,AAF-82645,AAF-82547,AAF-82751,AAF-83144
,,,standardssd-e2-lrs,,AAF-82180,AAF-76212,AAF-76268,AAF-76933
,,,standardssd-e2-lrs-disk-mount,,AAF-83158,AAF-83181,AAF-83130,AAF-83380
,,,standardssd-e2-zrs,,,AAF-82075,AAF-82133,
,,,standardssd-e2-zrs-disk-mount,,AAF-83158,AAF-83181,AAF-83130,AAF-83380
,,,standardssd-e3-lrs,,AAF-82138,AAF-76332,AAF-76254,AAF-76935
